Date / Time,City,State,Shape,Duration,Summary,Posted
7/12/08 22:30,Fort Worth,TX,Triangle,unsure,"((HOAX??))  Large Triangular U.F.O. Battles with Smaller U.F.O.s in Night Sky Over Ft. Worth, TX",8/12/08
7/12/08 01:45,Henderson,TX,Unknown,5 seconds,Object with pulsating red and white lights appears in the middle of the sky and travels to the horizon at extremely high velocity.,8/12/08
7/11/08 21:00,Royse City,TX,Light,til sunrise,"I started out seeing about 6 very bright lights.They were not moving, they always stay in that one spot.No definite shape.They are ther",8/12/08
7/11/08 00:45,Southlake,TX,Unknown,1-2 seconds,Witnessed two bright white flashes of light that illuminated the inside of my house,8/12/08
7/10/08 23:00,Southlake,TX,Light,25-30 seconds,"Witnessed UFO stationairy, begin to slowly move, went near vertical and literally climbed out of the atmosphere at incredable speed!",8/12/08
7/10/08 00:36,San Antonio,TX,Formation,10 seconds,"Group of star like objects moving rapidly to the north over the San Antonio airport 12:36am July 10, 2008.",8/12/08
7/7/08 00:35,San Antonio,TX,Chevron,3 seconds,Quick object overhead San Antonio / Schertz TX,8/12/08
7/6/08 21:45,San Antonio,TX,Egg,6 seconds,"white, egg shaped object traveling very fast and no sound what so ever",8/12/08
7/5/08 22:30,Temple,TX,Other,30 seconds,"Slow moving large flying wing shape with mutiple circles in formation on underside, it was silent",8/12/08
7/4/08 04:00,Webster,TX,Light,20 minutes,The speed it moved is unbelievable it was nothing from this world for sure.,7/5/08
7/4/08 03:00,San Antonio,TX,Light,45 min,red and green flashing object hovering.,7/5/08
7/3/08 23:20,Houston,TX,Unknown,~1 hour,"Flashing object at the sky of Houston, July 3,2008.  ((NUFORC Note:  Sighting of Jupiter in the southeastern sky??  PD))",7/5/08
7/3/08 22:01,Cypress,TX,Light,30 seconds,Orange flickering light northwest of Houston observed from Highway 290,8/12/08
7/2/08 03:00,Dallas,TX,Fireball,2-3 Seconds,"Object was a fast moving fireball, that moved towards the ground, disappeared and scared my dogs(and me).",7/5/08
7/2/08 03:00,Round Rock,TX,Flash,1-2 Minutes,"walked dog 3 a. m. very large flash behind me that left a light trail that changed colors, it was not a shooting star",8/12/08
7/2/08 03:00,San Antonio/Cambleton,TX,Other,1 hour,The object came after me after I tried to take a picture and I think the camera flash caused it all.,7/5/08
6/30/08 23:00,Amarillo (local area and SE),TX,Light,10 minutes,"""Flash Bulb"" like lights hovering at 100 ft over Hwy 287 outside of Amarillo",12/12/09
6/28/08 23:00,Azle,TX,Triangle,13 seconds,Strange triangular craft with bright light on the nose.,3/19/09
6/28/08 22:00,Azle,TX,Triangle,30 seconds,strange triungular craft sighted.,8/5/09
6/27/08 22:00,Camanche,TX,,10 min.,"As many as 6 bright lights darting up and down, and then disappearing.",7/5/08
6/27/08 10:45,San Antonio,TX,Other,1m,I was traveling I-10 west and saw a hovering object .  It appeared as if it was hovering between Fred Rd and DeZavala on I-10.,7/5/08
6/27/08 01:22,Hooks,TX,Triangle,3 minutes,triangle light pattern heading North / North West near Hooks Texas,7/5/08
6/26/08 20:30,Texarkana,TX,Other,"3 minutes, twice","I saw this object once before at night from the side and app. 1/2 mile away about 6 months ago, but it was right over head this time (1",8/12/08
6/24/08 08:45,Houston,TX,Oval,20 MIN,Daylight object passes by moon and makes random movements.,7/5/08
6/22/08 17:00,Port Aransas,TX,Other,1-2 MINUTES,SIGHTING AT PORT ARANSAS TX.,7/5/08
