Date / Time,City,State,Shape,Duration,Summary,Posted
3/20/19 07:30,New Braunfels,TX,Triangle,-1.0,Triangular UFO in the sky.,6/7/19
3/18/19 06:45,Blackwell,TX,Light,7.0,Slowly moving red/gold glowing orb.,3/29/19
3/16/19 21:10,Flint,TX,Fireball,4.0,Orange orbs (glowing) moving SW over the lake. Definately not aircraft or balloons.,3/21/19
3/16/19 15:50,Frisco,TX,Triangle,15.0,"All white objects going the same speed, very fast, clear sky, then disappeared. Difficult to tell shape of the objects due to the altit",3/21/19
3/15/19 06:20,The Woodlands,TX,Circle,5.0,"Driving E, I noticed a large bluish green light shaped like a ball moving smooth and extremely fast.  ((anonymous report))",3/21/19
3/14/19 22:30,Atlanta,TX,Other,10.0,6 lights seen in East Texas. Moving strangely,3/21/19
3/5/19 19:20,Angleton,TX,Oval,20.0,"Thick red line of light, slightly longer than the moon",3/14/19
2/22/19 20:10,Tolar,TX,Light,1.0,An object with 3 lights flew over our car tonight.,2/27/19
2/15/19 20:33,Austin,TX,Sphere,1.0,Two glowing spheres that changed direction at different times.,2/22/19
2/15/19 18:00,Navasota,TX,Other,2.0,Boxy object flying in sky.,4/25/19
1/27/19 17:45,Haltom City,TX,Oval,5.0,Oval light sphere ufo over DFW Texas with video,2/1/19
1/23/19 22:48,Burleson,TX,Changing,15.0,"6 flickering  red/white lights linked together in a broken V, converged to form a Hexagon then flew away https://youtu.be/NgqCSPKCm2g",2/1/19
1/23/19 19:00,Mansfield,TX,Light,2.0,Two lights slowly falling then disappearing.,2/1/19
1/20/19 23:17,Austin,TX,Triangle,2.0,"2 Transparent Triangle shaped objects observed in Austin, TX.",1/24/19
1/20/19 13:00,Austin,TX,Sphere,30.0,This is the second time I have witnessed such a craft hovering generally above my house.At approximately 1:00pm I was in the front,1/24/19
1/20/19 13:00,Austin,TX,Sphere,30.0,This is the second time I have witnessed such a craft hovering generally above my house.At approximately 1:00pm I was in the front,2/7/19
1/18/19 21:50,Allen,TX,Other,5.0,"Red spherical/triangular object active in Allen, TX approximatley five minutes, five witnesses.",1/24/19
1/16/19 09:00,Pine Springs,TX,Sphere,2.0,Motionless grey object above 30k.,1/24/19
1/10/19 19:30,Dallas,TX,Circle,4.0,Unexpected.  I just looked up and saw this thing.,1/11/19
1/9/19 00:20,Lindale,TX,Formation,5.0,Seen a formation type of lights.  Was there then disappeared after a few minutes.,1/17/19
1/8/19 08:00,Midland,TX,nan,20.0,Numerous beams of orange pulsing lights in the sky over Midland circling the town.,1/11/19
1/8/19 08:00,Midland,TX,nan,1.0,Add to previous report.My husband ((name delet noticed two orgnage beans in the sky just over the midland memorial hospital. Then about,1/11/19
1/6/19 23:00,Point Blank,TX,Oval,0,"Repeated appearance Of Star-Like Object In The Sky East Of Houston, Texas.  ((NUFORC Note:  Possible sighting of Sirius??  PD))",2/1/19
1/4/19 23:45,Portland,TX,Formation,2.5,Seeing is Believing:  Sighting Over Texas Coastline.,7/12/19
1/4/19 00:26,Austin,TX,Circle,10.0,Driving on rt 183 north west   saw very very bright light in circle in night sky was clear sky  jan 4 1226 am  it was moving in same di,4/25/19
12/31/18 23:30,San Antonio,TX,Sphere,15.0,I saw fiery orange lights no sound flying at low altitude no noise they moved south then flanked back but they all flanked at the same,1/11/19
12/31/18 22:00,Spring,TX,nan,15.0,Red/ Orange lights - spherical shape.,1/24/19
12/29/18 00:29,Sanger,TX,Changing,10.0,We saw a bright feiry object in the sky that changed shape frequently and had smaller objects fly up towards it.,1/4/19
12/19/18 21:30,Estelline,TX,Light,10.0,Fleet of lights going against wind in Estelline Texas,1/4/19
12/10/18 22:00,Beaumont,TX,Light,5.0,I was outside a hospital smoking a cigarette.looked up and saw a bright white light that resembled a star except it got dimmer and dimm,12/14/18
